iter	RMSE
0	4194.914682
1	3875.957671
2	3602.417832
3	3367.780155
4	3173.264414
5	3002.148396
6	2846.492506
7	2715.087172
8	2608.342923
9	2507.36202
10	2425.502733
11	2352.126339
12	2285.320171
13	2231.132742
14	2187.6994
15	2149.968659
16	2117.874897
17	2087.432342
18	2062.263155
19	2041.898127
20	2022.810521
21	2006.688367
22	1993.079364
23	1980.488908
24	1966.645991
25	1955.59953
26	1946.835998
27	1937.639785
28	1929.072642
29	1920.366423
30	1913.98611
31	1909.032786
32	1901.794666
33	1897.460756
34	1892.919053
35	1887.344096
36	1883.497837
37	1878.245977
38	1875.338767
39	1871.715838
40	1868.078115
41	1865.105342
42	1861.151226
43	1858.433535
44	1855.800192
45	1851.272109
46	1848.138851
47	1846.277663
48	1844.182043
49	1842.620267
50	1839.538986
51	1835.890592
52	1833.066061
53	1830.890506
54	1828.42424
55	1825.092971
56	1823.279085
57	1821.444101
58	1819.572291
59	1818.064109
60	1816.774927
61	1813.963932
62	1812.353457
63	1811.271176
64	1809.753359
65	1807.976994
66	1806.216449
67	1804.557277
68	1802.998385
69	1801.617239
70	1800.214595
71	1799.382245
72	1797.843677
73	1796.959867
74	1795.259767
75	1794.435869
76	1793.681661
77	1792.161531
78	1789.505559
79	1787.685227
80	1786.860145
81	1785.817537
82	1784.428148
83	1783.142457
84	1782.218914
85	1781.38856
86	1779.255153
87	1778.266165
88	1777.505995
89	1776.17514
90	1774.374654
91	1773.510407
92	1772.115224
93	1770.639819
94	1769.523545
95	1768.518264
96	1767.468711
97	1766.041306
98	1764.873935
99	1763.957292
100	1762.759622
101	1761.751813
102	1760.398356
103	1759.673711
104	1758.84338
105	1757.695681
106	1756.558685
107	1755.687595
108	1754.847277
109	1753.87733
110	1752.898369
111	1751.609298
112	1750.672225
113	1750.195756
114	1749.561074
115	1748.588534
116	1747.925001
117	1747.170166
118	1746.514992
119	1746.034321
120	1744.163687
121	1743.446694
122	1742.517099
123	1742.014787
124	1741.283835
125	1740.138949
126	1739.565538
127	1738.938745
128	1737.958729
129	1736.94441
130	1735.774041
131	1735.283918
132	1734.286832
133	1733.715783
134	1732.668863
135	1731.566123
136	1731.094692
137	1730.549453
138	1729.580524
139	1728.912211
140	1728.155449
141	1727.458137
142	1726.493979
143	1725.888742
144	1725.349668
145	1724.708168
146	1723.804005
147	1723.493528
148	1722.912404
149	1722.228201
150	1721.655285
151	1720.646924
152	1719.540274
153	1718.718294
154	1718.26966
155	1717.818688
156	1717.100376
157	1716.638377
158	1716.318348
159	1715.630861
160	1715.474869
161	1715.117875
162	1714.42855
163	1713.75876
164	1713.252455
165	1713.079303
166	1712.704922
167	1712.312873
168	1711.940486
169	1711.425104
170	1711.158033
171	1710.476685
172	1709.846764
173	1709.038639
174	1708.729085
175	1708.397898
176	1708.042895
177	1707.774844
178	1707.413662
179	1706.756333
180	1705.944907
181	1705.589817
182	1705.151742
183	1704.740378
184	1704.069903
185	1703.386637
186	1702.939316
187	1702.402292
188	1701.851352
189	1701.613653
190	1701.018548
191	1700.759239
192	1700.430294
193	1700.034029
194	1699.634183
195	1699.290463
196	1698.712811
197	1698.363965
198	1697.792349
199	1697.46284
200	1696.913433
201	1696.524822
202	1696.217692
203	1695.688501
204	1695.346837
205	1695.144808
206	1694.773306
207	1694.556934
208	1694.372802
209	1694.122779
210	1694.028899
211	1693.566143
212	1693.384768
213	1693.205867
214	1692.96774
215	1692.582559
216	1692.295351
217	1691.920341
218	1691.541723
219	1691.333187
220	1690.903635
221	1690.774116
222	1690.554453
223	1689.925731
224	1689.600116
225	1689.419928
226	1688.726537
227	1688.534354
228	1688.357209
229	1687.79008
230	1687.209499
231	1687.092935
232	1687.024496
233	1686.526614
234	1686.316893
235	1686.045775
236	1685.936425
237	1685.758634
238	1685.507124
239	1685.206732
240	1685.035228
241	1684.639151
242	1684.433902
243	1684.286161
244	1683.85452
245	1683.468605
246	1683.340535
247	1683.157875
248	1683.022057
249	1682.686869
250	1682.270537
251	1681.689065
252	1681.391272
253	1681.023063
254	1680.360095
255	1679.797205
256	1679.542903
257	1679.350548
258	1679.029298
259	1678.700562
260	1678.422942
261	1677.848454
262	1677.621949
263	1677.484908
264	1677.143235
265	1676.681051
266	1676.339661
267	1676.054336
268	1675.87766
269	1675.63322
270	1675.438357
271	1675.227565
272	1674.754463
273	1674.560306
274	1674.124065
275	1673.954369
276	1673.788002
277	1673.678078
278	1673.336799
279	1673.009047
280	1672.73599
281	1672.46905
282	1672.326495
283	1672.172139
284	1671.932309
285	1671.615759
286	1671.197189
287	1671.045014
288	1670.8368
289	1670.686577
290	1670.432837
291	1670.280583
292	1669.96938
293	1669.570737
294	1669.222977
295	1669.08886
296	1668.848815
297	1668.474563
298	1668.143768
299	1667.905851
300	1667.726512
301	1667.465628
302	1666.879473
303	1666.674991
304	1666.576833
305	1666.227775
306	1665.765997
307	1665.604236
308	1665.218526
309	1665.102223
310	1664.961402
311	1664.711046
312	1664.516681
313	1664.372182
314	1663.877698
315	1663.48486
316	1663.19963
317	1662.906047
318	1662.604054
319	1662.417753
320	1662.180469
321	1662.040272
322	1661.99665
323	1661.863324
324	1661.443478
325	1661.214504
326	1660.790141
327	1660.437089
328	1660.235177
329	1660.186679
330	1660.10277
331	1659.903815
332	1659.6497
333	1659.400307
334	1659.333391
335	1658.838654
336	1658.502123
337	1658.417451
338	1658.111005
339	1657.828596
340	1657.642923
341	1657.390427
342	1657.18048
343	1657.037279
344	1656.761481
345	1656.641882
346	1656.634923
347	1656.32108
348	1656.242724
349	1656.071358
350	1655.945329
351	1655.718942
352	1655.448025
353	1655.400198
354	1655.221605
355	1655.01628
356	1654.960159
357	1654.732204
358	1654.425227
359	1654.082103
360	1653.88382
361	1653.635816
362	1653.41028
363	1653.230672
364	1653.118397
365	1652.719139
366	1652.188823
367	1652.019822
368	1651.844276
369	1651.421306
370	1651.238518
371	1650.999773
372	1650.818006
373	1650.695799
374	1650.532931
375	1650.410427
376	1650.064983
377	1649.924217
378	1649.595999
379	1649.316188
380	1649.085689
381	1648.94895
382	1648.811678
383	1648.486063
384	1648.183502
385	1647.97951
386	1647.714939
387	1647.583729
388	1647.504157
389	1647.321298
390	1647.286558
391	1647.065685
392	1646.963709
393	1646.747077
394	1646.53141
395	1646.176769
396	1645.861753
397	1645.668297
398	1645.654552
399	1645.572108
400	1645.229169
401	1645.030626
402	1645.024261
403	1644.835654
404	1644.762724
405	1644.631651
406	1644.59549
407	1644.152402
408	1643.992949
409	1643.794466
410	1643.787595
411	1643.591857
412	1643.494726
413	1643.298218
414	1643.182736
415	1642.863815
416	1642.810478
417	1642.678802
418	1642.635899
419	1642.477992
420	1642.396515
421	1642.275015
422	1642.087249
423	1641.75592
424	1641.587553
425	1641.467962
426	1641.394528
427	1641.191251
428	1641.036109
429	1640.691812
430	1640.598509
431	1640.426959
432	1639.963451
433	1639.833205
434	1639.593591
435	1639.327569
436	1639.224169
437	1639.10068
438	1638.924232
439	1638.850536
440	1638.649319
441	1638.405536
442	1637.972204
443	1637.805277
444	1637.657443
445	1637.422147
446	1637.319591
447	1637.06458
448	1636.91942
449	1636.697667
450	1636.564397
451	1636.446486
452	1636.387203
453	1636.282667
454	1636.044133
455	1635.813501
456	1635.638838
457	1635.501892
458	1635.394969
459	1635.324081
460	1635.13765
461	1635.040884
462	1634.92537
463	1634.77698
464	1634.540884
465	1634.366175
466	1634.265943
467	1634.087797
468	1633.92495
469	1633.77203
470	1633.676897
471	1633.449025
472	1633.33459
473	1633.283271
474	1632.989267
475	1632.855416
476	1632.505473
477	1632.341928
478	1632.259261
479	1632.172474
480	1631.704137
481	1631.590309
482	1631.538937
483	1631.395923
484	1631.080304
485	1630.900733
486	1630.697616
487	1630.595619
488	1630.484425
489	1630.036627
490	1629.848907
491	1629.596565
492	1629.389892
493	1629.33729
494	1628.841477
495	1628.829911
496	1628.703832
497	1628.540635
498	1628.499966
499	1628.441698
500	1628.35725
501	1628.027017
502	1627.996273
503	1627.724987
504	1627.575537
505	1627.439885
506	1627.36986
507	1627.362764
508	1627.315863
509	1627.20988
510	1627.010468
511	1626.792133
512	1626.740577
513	1626.666071
514	1626.645347
515	1626.625684
516	1626.460534
517	1626.442549
518	1626.226554
519	1626.192924
520	1626.113616
521	1625.842841
522	1625.729182
523	1625.6096
524	1625.460327
525	1625.320723
526	1624.901735
527	1624.697765
528	1624.455405
529	1624.314614
530	1624.234923
531	1624.010601
532	1623.740722
533	1623.575775
534	1623.496116
535	1623.383723
536	1623.270751
537	1623.058648
538	1622.943602
539	1622.818461
540	1622.673595
541	1622.347566
542	1622.092114
543	1622.054458
544	1621.903613
545	1621.64822
546	1621.547569
547	1621.459642
548	1621.372561
549	1621.161967
550	1621.070517
551	1620.845793
552	1620.689482
553	1620.414305
554	1620.287401
555	1620.165749
556	1619.973085
557	1619.863217
558	1619.788162
559	1619.47198
560	1619.411907
561	1619.305847
562	1619.164738
563	1619.090366
564	1619.035853
565	1618.946685
566	1618.70684
567	1618.608689
568	1618.369388
569	1618.218723
570	1617.949084
571	1617.797843
572	1617.592833
573	1617.449459
574	1617.409209
575	1617.33155
576	1617.211072
577	1617.172796
578	1617.153359
579	1617.066169
580	1616.94256
581	1616.823326
582	1616.520775
583	1616.230507
584	1616.10401
585	1616.072115
586	1615.881834
587	1615.811027
588	1615.663888
589	1615.608531
590	1615.547204
591	1615.32515
592	1615.190909
593	1615.111242
594	1614.990192
595	1614.839778
596	1614.766465
597	1614.632044
598	1614.457452
599	1614.291829
600	1614.219754
601	1614.099762
602	1613.989294
603	1613.865979
604	1613.824787
605	1613.782613
606	1613.66845
607	1613.543888
608	1613.492389
609	1613.35546
610	1613.286573
611	1613.16118
612	1613.015427
613	1612.965101
614	1612.798171
615	1612.701486
616	1612.47496
617	1612.416807
618	1612.267374
619	1612.251653
620	1612.160431
621	1611.982664
622	1611.905445
623	1611.779464
624	1611.732527
625	1611.537129
626	1611.532173
627	1611.472694
628	1611.269954
629	1611.122285
630	1610.973692
631	1610.826434
632	1610.654726
633	1610.51656
634	1610.374638
635	1610.345096
636	1610.284029
637	1610.206145
638	1610.173655
639	1609.984763
640	1609.871915
641	1609.757049
642	1609.645902
643	1609.541701
644	1609.491248
645	1609.391383
646	1609.262905
647	1609.225369
648	1609.180453
649	1609.164976
650	1609.067992
651	1608.998629
652	1608.7001
653	1608.632227
654	1608.454107
655	1608.284063
656	1608.054614
657	1607.993257
658	1607.789553
659	1607.562213
660	1607.550287
661	1607.539727
662	1607.502869
663	1607.38797
664	1607.383186
665	1607.172972
666	1607.097369
667	1606.982157
668	1606.962441
669	1606.920173
670	1606.863507
671	1606.84749
672	1606.698606
673	1606.602625
674	1606.601536
675	1606.499361
676	1606.464089
677	1606.264858
678	1606.151248
679	1606.018412
680	1605.756505
681	1605.754751
682	1605.661133
683	1605.61978
684	1605.539023
685	1605.511938
686	1605.416002
687	1605.414172
688	1605.314892
689	1605.265605
690	1605.015048
691	1604.984888
692	1604.884056
693	1604.783865
694	1604.753685
695	1604.710694
696	1604.57784
697	1604.518743
698	1604.295058
699	1604.176709
700	1604.077005
701	1603.987846
702	1603.926815
703	1603.903637
704	1603.845195
705	1603.733393
706	1603.659228
707	1603.651921
708	1603.629981
709	1603.488464
710	1603.435973
711	1603.424991
712	1603.271717
713	1603.258394
714	1603.236498
715	1603.102142
716	1602.961347
717	1602.928335
718	1602.773109
719	1602.674571
720	1602.583152
721	1602.455676
722	1602.445637
723	1602.336449
724	1602.248419
725	1602.112323
726	1601.972759
727	1601.880823
728	1601.852748
729	1601.797133
730	1601.720753
731	1601.662327
732	1601.498391
733	1601.41919
734	1601.331166
735	1601.271084
736	1601.197787
737	1601.033213
738	1600.772909
739	1600.575022
740	1600.494349
741	1600.453917
742	1600.297559
743	1600.288839
744	1600.198666
745	1600.192041
746	1600.038374
747	1599.847513
748	1599.825686
749	1599.477285
750	1599.273952
751	1599.144148
752	1599.05512
753	1599.007753
754	1598.911734
755	1598.669961
756	1598.477739
757	1598.284866
758	1598.159549
759	1598.070121
760	1597.962049
761	1597.843151
762	1597.761491
763	1597.730049
764	1597.680526
765	1597.644287
766	1597.586793
767	1597.511031
768	1597.433495
769	1597.354862
770	1597.32994
771	1597.156422
772	1596.964258
773	1596.91412
774	1596.901344
775	1596.865362
776	1596.789475
777	1596.702011
778	1596.435928
779	1596.406053
780	1596.398176
781	1596.353607
782	1596.301759
783	1596.091124
784	1596.017717
785	1595.775482
786	1595.704129
787	1595.624582
788	1595.489536
789	1595.437338
790	1595.357313
791	1595.331825
792	1595.272128
793	1595.077956
794	1594.9511
795	1594.880088
796	1594.757222
797	1594.620583
798	1594.566581
799	1594.504472
800	1594.303305
801	1594.186624
802	1594.145947
803	1594.09074
804	1594.033146
805	1593.934118
806	1593.880793
807	1593.842309
808	1593.780975
809	1593.658205
810	1593.53127
811	1593.496646
812	1593.459845
813	1593.301832
814	1593.091751
815	1593.090994
816	1592.90395
817	1592.874209
818	1592.867905
819	1592.675855
820	1592.538564
821	1592.45974
822	1592.238212
823	1592.028909
824	1591.935921
825	1591.746401
826	1591.727527
827	1591.631264
828	1591.541518
829	1591.470546
830	1591.392993
831	1591.332076
832	1591.293304
833	1591.292864
834	1591.164705
835	1591.124301
836	1591.064035
837	1591.005053
838	1590.926884
839	1590.858621
840	1590.740368
841	1590.708499
842	1590.521676
843	1590.51851
844	1590.403171
845	1590.327059
846	1590.24708
847	1590.17572
848	1590.040629
849	1589.901857
850	1589.770638
851	1589.647522
852	1589.486717
853	1589.480743
854	1589.438167
855	1589.286837
856	1589.252509
857	1589.019013
858	1588.899632
859	1588.839161
860	1588.760941
861	1588.734142
862	1588.647024
863	1588.614858
864	1588.450776
865	1588.448385
866	1588.391774
867	1588.336147
868	1588.216228
869	1588.067124
870	1587.954521
871	1587.794124
872	1587.733745
873	1587.485738
874	1587.40598
875	1587.206167
876	1587.101923
877	1587.048854
878	1587.035698
879	1586.908523
880	1586.819966
881	1586.577727
882	1586.483022
883	1586.380834
884	1586.182839
885	1585.953304
886	1585.863449
887	1585.814672
888	1585.68042
889	1585.599066
890	1585.510969
891	1585.43082
892	1585.377361
893	1585.236223
894	1585.176107
895	1585.076155
896	1585.01344
897	1584.985998
898	1584.816032
899	1584.76071
900	1584.533303
901	1584.415751
902	1584.369812
903	1584.201378
904	1584.148728
905	1584.039901
906	1583.96105
907	1583.899659
908	1583.879749
909	1583.813014
910	1583.755377
911	1583.665348
912	1583.618588
913	1583.614183
914	1583.5782
915	1583.468689
916	1583.379997
917	1583.333987
918	1583.256837
919	1583.144042
920	1583.057668
921	1582.963479
922	1582.883527
923	1582.843005
924	1582.797847
925	1582.719317
926	1582.547538
927	1582.466393
928	1582.4058
929	1582.350774
930	1582.213597
931	1582.12723
932	1581.955842
933	1581.824454
934	1581.749407
935	1581.678625
936	1581.586869
937	1581.555882
938	1581.461589
939	1581.348954
940	1581.239821
941	1581.066566
942	1580.911589
943	1580.732193
944	1580.450162
945	1580.32061
946	1580.271658
947	1580.249566
948	1580.128906
949	1580.069843
950	1580.033331
951	1579.913894
952	1579.82848
953	1579.62854
954	1579.610265
955	1579.53821
956	1579.478714
957	1579.281576
958	1579.183873
959	1579.148064
960	1579.043001
961	1578.928922
962	1578.841904
963	1578.769136
964	1578.595884
965	1578.527144
966	1578.436661
967	1578.395965
968	1578.326278
969	1578.200615
970	1578.096897
971	1578.073147
972	1578.071439
973	1577.985247
974	1577.864105
975	1577.728956
976	1577.629262
977	1577.587067
978	1577.539323
979	1577.286233
980	1577.187714
981	1577.095398
982	1577.017588
983	1576.989038
984	1576.930992
985	1576.772143
986	1576.476773
987	1576.458476
988	1576.403623
989	1576.35447
990	1576.251632
991	1576.122029
992	1576.03089
993	1576.02906
994	1576.005609
995	1575.91106
996	1575.849782
997	1575.663213
998	1575.585985
999	1575.520482
